Prozesskategorie;sector;kind;year;5%_potential_neg_overall;5%_potential_pos_overall;5%_potential_pos_overall_shed;5%_installed_cap;50%_potential_neg_overall;50%_potential_pos_overall;50%_potential_pos_overall_shed;50%_installed_cap;95%_potential_neg_overall;95%_potential_pos_overall;95%_potential_pos_overall_shed;95%_installed_cap;5%_specific_investments;50%_specific_investments;95%_specific_investments;5%_fixed_costs;50%_fixed_costs;95%_fixed_costs;5%_variable_costs;5%_variable_costs_shed;50%_variable_costs;50%_variable_costs_shed;95%_variable_costs;95%_variable_costs_shed;5%_interference_duration_neg;5%_interference_duration_pos;5%_interference_duration_pos_shed;5%_maximum_activations_year;5%_maximum_activations_year_shed;5%_regeneration_duration;5%_shifting_duration;50%_interference_duration_neg;50%_interference_duration_pos;50%_interference_duration_pos_shed;50%_maximum_activations_year;50%_maximum_activations_year_shed;50%_regeneration_duration;50%_shifting_duration;95%_interference_duration_neg;95%_interference_duration_pos;95%_interference_duration_pos_shed;95%_maximum_activations_year;95%_maximum_activations_year_shed;95%_regeneration_duration;95%_shifting_duration;cluster
Altpapierrecycling (Pulper);ind;shift_only;SQ;114.29706059692495;291.91;421.1448501582411;410.7;154.05694265537497;350.0;599.336141941213;588.0;324.74639378842966;449.7;762.6134312473764;853.8;3.56;2.3;0.16;0.0712;0.046;0.01;286.21;476.97;166.89333333333332;433.01;63.63666666666666;389.05;1.3;0.62;0.58;29.0;0.0;23.95;2.23;3.0;1.85;1.3;365.0;0.0;23.5;4.3;4.7;2.91;2.29;2885.5;0.0;3.92;30.6;801.0
Belüftung;ind;shift_only;SQ;0.0;0.82;0.0;254.66;15.792878005730541;11.97;0.0;341.0;581.6101893983687;1011.25;0.0;1016.25;369.81;10.19;6.94;7.3962;0.20379999999999998;0.1388;288.71;0.01;190.81;0.01;87.53799999999998;0.01;0.05;0.35;0.09;292.0;0.0;3.8;1.55;0.5;1.1;1.25;365.0;0.0;2.0;4.22;1.7;2.0;2.0;865.05;0.0;0.2;25.23;801.0
Calciumcarbid-Herstellung (Lichtbogenofen);ind;shift_shed;SQ;4.35;4.35;41.40331210585237;58.2;13.0;13.0;63.00000000000001;78.0;19.95;19.95;84.59659825113683;97.8;12.47;5.6;0.46;0.2494;0.11199999999999999;0.01;672.285;1222.8;430.72;1136.71;231.975;1050.62;3.03;1.66;1.64;20.0;0.0;23.95;3.64;3.6;2.2;2.0;50.0;0.0;23.5;6.0;4.68;2.91;2.36;279.5;0.0;3.92;31.2;701.0
Chlor-Alkali-Elektrolyse;ind;shift_shed;SQ;10.1608547008547;15.0;243.20090251501824;585.5;337.53048098434004;593.0;458.79712826786135;1331.0;678.2357132090743;988.0;1193.217888623615;2267.9;219.85;0.52;0.01;4.397;0.010400000000000001;0.01;191.445;705.3016666666666;118.0875;253.676;32.705;138.705;0.2;1.0;1.5;30.5;0.0;23.9;0.0;2.4;3.0;4.0;52.0;20.0;23.0;2.0;4.13;7.99;8.4;365.0;47.0;5.0;10.4;701.0
Druckluftanwendungen;ind;shift_only;SQ;56.15;33.56;0.0;1939.7;1045.5;910.85;0.0;1939.7;2578.0;1939.7;0.0;2578.0;12.47;2.31;0.15;0.2494;0.046200000000000005;0.01;372.53;0.01;178.09;0.01;60.71;0.01;1.25;0.0;0.0;30.5;0.0;23.95;1.55;3.6;0.02;0.0;244.0;0.0;23.5;4.22;4.68;1.8;0.0;446.88;0.0;3.92;25.23;801.0
Elektrostahlherstellung (Lichtbogenofen);ind;shed_only;SQ;24.173670212765956;57.95;289.5703646706238;853.33;343.8542959964013;758.0;976.7893081761008;2000.0;871.5082347007598;1198.0;1368.9499999999998;2120.0;5.84;0.63;0.08;0.1168;0.0126;0.01;640.895;1106.2499999999998;228.97;564.03;64.11500000000001;424.0216666666667;0.18;0.4;0.08;20.0;0.0;23.95;0.0;1.0;3.3;2.65;52.0;40.0;23.5;0.9;1.08;5.84;5.12;4080.0;182.0;3.92;4.7;601.0
Gießereien (Induktionsofen);ind;shift_shed;SQ;5.2;5.2;37.6;55.3;25.0;25.0;114.99999999999997;148.0;44.8;44.8;192.39999999999998;240.7;12.72;8.14;3.56;0.2544;0.16280000000000003;0.0712;412.15;1632.05;274.76;1519.86;137.38;1407.66;3.28;1.64;1.64;20.0;0.0;23.95;3.7;4.0;2.0;2.0;50.0;0.0;23.5;6.0;4.72;2.36;2.36;80.0;0.0;3.92;6.38;701.0
Holz- und Zellstoffherstellung;ind;shift_only;SQ;18.5878963440662;60.72;161.9452465167057;155.4;91.92335199751183;235.5;273.5320895522388;324.0;305.1020793730199;312.0;470.7785997055214;670.25;20.57;2.31;0.15;0.4114;0.046200000000000005;0.01;245.5283333333333;769.2633333333333;154.33833333333334;464.49333333333334;42.902;406.0033333333334;1.25;1.35;1.3;20.0;0.0;23.95;1.5;4.2;2.5;4.3;500.0;10.0;23.5;5.8;6.45;5.12;5.21;1257.0;286.25;3.92;27.6;801.0
Klimakälte;ind;shift_only;SQ;18.32462903748028;0.0;0.0;790.7;62.76549894352401;0.0;0.0;1049.0;69.46896873641427;85.94;0.0;1307.3;12.47;2.31;0.15;0.2494;0.046200000000000005;0.01;288.71;0.01;190.81;0.01;87.53799999999998;0.01;1.25;1.0;0.0;292.0;0.0;23.95;1.55;3.6;2.2;0.0;365.0;0.0;23.5;4.22;4.68;3.82;0.0;438.0;0.0;3.92;25.23;801.0
Kupfer- und Zinkherstellung (Elektrolyse);ind;shift_shed;SQ;7.8;7.8;30.702276550540592;177.5;15.0;15.0;152.66835016835014;182.0;22.2;22.2;169.16667104551547;186.5;0.01;0.01;0.01;0.01;0.01;0.01;246.78;2562.12;178.09;1840.285;109.4;1256.9099999999999;0.48;1.74;1.15;20.0;0.0;23.95;0.0;3.6;3.0;3.5;50.0;0.0;23.5;4.0;4.68;6.78;6.4;80.0;40.0;3.92;7.0;701.0
