;5%_tcs+hoho_cluster-101_pos;5%_tcs+hoho_cluster-101_neg;50%_tcs+hoho_cluster-101_pos;50%_tcs+hoho_cluster-101_neg;95%_tcs+hoho_cluster-101_pos;95%_tcs+hoho_cluster-101_neg;5%_hoho_cluster-201_pos;5%_hoho_cluster-201_neg;50%_hoho_cluster-201_pos;50%_hoho_cluster-201_neg;95%_hoho_cluster-201_pos;95%_hoho_cluster-201_neg;5%_hoho_cluster-301_pos;5%_hoho_cluster-301_neg;50%_hoho_cluster-301_pos;50%_hoho_cluster-301_neg;95%_hoho_cluster-301_pos;95%_hoho_cluster-301_neg;5%_tcs_cluster-401_pos;5%_tcs_cluster-401_neg;50%_tcs_cluster-401_pos;50%_tcs_cluster-401_neg;95%_tcs_cluster-401_pos;95%_tcs_cluster-401_neg;5%_ind_cluster-601_pos;5%_ind_cluster-601_neg;50%_ind_cluster-601_pos;50%_ind_cluster-601_neg;95%_ind_cluster-601_pos;95%_ind_cluster-601_neg;5%_ind_cluster-701_pos;5%_ind_cluster-701_neg;50%_ind_cluster-701_pos;50%_ind_cluster-701_neg;95%_ind_cluster-701_pos;95%_ind_cluster-701_neg;5%_ind_cluster-801_pos;5%_ind_cluster-801_neg;50%_ind_cluster-801_pos;50%_ind_cluster-801_neg;95%_ind_cluster-801_pos;95%_ind_cluster-801_neg
2012-01-01 00:00:00;0,0062;0,557;0,006;0,5167;0,0023;0,5948;0,333;0,4;0,333;0,4;0,333;0,4;0,7012;0,7515;0,6987;0,6664;0,463;0,6595;0,4246;0,8527;0,3135;0,8802;0,2606;0,6469;1,0;0;1,0;0;1,0;0;0,8301;0,9897;0,8814;0,9631;0,8911;0,8954;0,9884;0,9794;0,8669;0,9938;0,8421;0,997
2012-01-01 01:00:00;0,0062;0,557;0,006;0,5167;0,0023;0,5948;0,333;0,4;0,333;0,4;0,333;0,4;0,6353;0,9172;0,633;0,7507;0,4231;0,7532;0,4246;0,8527;0,3135;0,8802;0,2606;0,6469;1,0;0;1,0;0;1,0;0;0,8301;0,9897;0,8814;0,9631;0,8911;0,8954;0,9884;0,9794;0,8669;0,9938;0,8421;0,997
2012-01-01 02:00:00;0,0062;0,557;0,006;0,5167;0,0023;0,5948;0,333;0,4;0,333;0,4;0,333;0,4;0,6118;0,9763;0,6096;0,7692;0,4149;0,7772;0,4246;0,8527;0,3135;0,8802;0,2606;0,6469;1,0;0;1,0;0;1,0;0;0,8301;0,9897;0,8814;0,9631;0,8911;0,8954;0,9884;0,9794;0,8669;0,9938;0,8421;0,997
2012-01-01 03:00:00;0,0062;0,557;0,006;0,5167;0,0023;0,5948;0,333;0,4;0,333;0,4;0,333;0,4;0,6024;1,0;0,6002;0,7906;0,4043;0,7983;0,4246;0,8527;0,3135;0,8802;0,2606;0,6469;1,0;0;1,0;0;1,0;0;0,8301;0,9897;0,8814;0,9631;0,8911;0,8954;0,9884;0,9794;0,8669;0,9938;0,8421;0,997
2012-01-01 04:00:00;0,0062;0,557;0,006;0,5167;0,0023;0,5948;0,4228;0,4;0,4228;0,4;0,4228;0,4;0,6212;0,9527;0,619;0,7631;0,4175;0,7686;0,4246;0,8527;0,3135;0,8802;0,2606;0,6469;1,0;0;1,0;0;1,0;0;0,8301;0,9897;0,8814;0,9631;0,8911;0,8954;0,9884;0,9794;0,8669;0,9938;0,8421;0,997
2012-01-01 05:00:00;0,0062;0,557;0,006;0,5167;0,0023;0,5948;0,6002;0,4;0,6002;0,4;0,6002;0,4;0,6259;0,9408;0,6237;0,7369;0,4309;0,7453;0,4272;0,8525;0,3174;0,8766;0,2983;0,5013;1,0;0;1,0;0;1,0;0;0,8301;0,9897;0,8814;0,9631;0,8911;0,8954;0,9884;0,9794;0,8669;0,9938;0,8421;0,997
2012-01-01 06:00:00;0,0062;0,557;0,006;0,5167;0,0023;0,5948;0,989;0,32;0,989;0,32;0,989;0,32;0,6776;0,8107;0,6753;0,6306;0,4832;0,6386;0,4347;0,7164;0,3278;0,7387;0,3388;0,3223;1,0;0;1,0;0;1,0;0;0,8301;0,9897;0,8814;0,9631;0,8911;0,8954;0,9942;0,9437;0,9334;0,8636;0,9147;0,8739
2012-01-01 07:00:00;0,0062;0,557;0,006;0,5167;0,0023;0,5948;1,0;0,32;1,0;0,32;1,0;0,32;0,7671;0,5858;0,7646;0,7003;0,5527;0,7225;0,3033;0,7707;0,2573;0,7853;0,3222;0,2694;1,0;0;1,0;0;1,0;0;0,8301;0,9897;0,8814;0,9631;0,8911;0,8954;0,9942;0,9437;0,9334;0,8636;0,9147;0,8739
2012-01-01 08:00:00;0,0062;0,557;0,006;0,5167;0,0023;0,5948;1,0;0,32;1,0;0,32;1,0;0,32;0,7812;0,5503;0,7791;0,658;0,5758;0,6775;0,1746;0,8268;0,1869;0,8353;0,2878;0,2899;1,0;0;1,0;0;1,0;0;0,8301;0,9897;0,8814;0,9631;0,8911;0,8954;0,9942;0,9437;0,9334;0,8636;0,9147;0,8739
2012-01-01 09:00:00;0,0062;0,557;0,006;0,5167;0,0023;0,5948;1,0;0,32;1,0;0,32;1,0;0,32;0,7906;0,5266;0,7902;0,7506;0,6414;0,7315;0,1746;0,8268;0,1869;0,8353;0,2878;0,2899;1,0;0;1,0;0;1,0;0;0,8301;0,9897;0,8814;0,9631;0,8911;0,8954;0,9942;0,9437;0,9334;0,8636;0,9147;0,8739
