Prozesskategorie;sector;year;5%_potential_neg_overall;5%_potential_pos_overall;5%_potential_pos_overall_shed;5%_installed_cap;50%_potential_neg_overall;50%_potential_pos_overall;50%_potential_pos_overall_shed;50%_installed_cap;95%_potential_neg_overall;95%_potential_pos_overall;95%_potential_pos_overall_shed;95%_installed_cap;5%_specific_investments;5%_fixed_costs;5%_variable_costs;5%_variable_costs_shed;50%_specific_investments;50%_fixed_costs;50%_variable_costs;50%_variable_costs_shed;95%_specific_investments;95%_fixed_costs;95%_variable_costs;95%_variable_costs_shed;5%_interference_duration_neg;5%_interference_duration_pos;5%_interference_duration_pos_shed;5%_maximum_activations_year;5%_maximum_activations_year_shed;5%_regeneration_duration;5%_shifting_duration;50%_interference_duration_neg;50%_interference_duration_pos;50%_interference_duration_pos_shed;50%_maximum_activations_year;50%_maximum_activations_year_shed;50%_regeneration_duration;50%_shifting_duration;95%_interference_duration_neg;95%_interference_duration_pos;95%_interference_duration_pos_shed;95%_maximum_activations_year;95%_maximum_activations_year_shed;95%_regeneration_duration;95%_shifting_duration;cluster
Altpapierrecycling (Pulper);ind;SQ;33.5;357.5;410.7;413.8;123.0;424.5;588.0;592.5;425.0;449.85;765.3;863.85;3.64;3.77;286.21;476.97;1.58;1.02;166.89;433.01;0.12;0.01;66.6;389.05;1.3;0.62;0.58;29.0;0.0;3.8;2.32;3.0;1.85;1.3;365.0;0.0;2.0;4.3;4.7;2.91;2.29;2885.5;0.0;0.2;31.2;2112.0
Beleuchtung;ind;SQ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;2112.0
Belüftung;ind;SQ;0.0;0.97;0.0;255.2;14.3;11.97;0.0;374.0;321.75;1022.5;0.0;1056.0;390.96;3.8;390.7;0.01;10.38;1.02;178.09;0.01;6.8;0.01;66.6;0.01;0.05;0.35;0.09;292.0;0.0;3.8;1.72;0.5;1.1;1.25;365.0;0.0;2.0;5.15;1.7;2.0;2.0;865.05;0.0;0.2;25.5;2112.0
Calciumcarbid-Herstellung (Lichtbogenofen);ind;SQ;4.35;4.35;41.4;58.2;13.0;13.0;63.0;78.0;19.95;19.95;84.6;97.8;12.47;29.0;666.92;1222.8;5.6;15.26;377.04;1136.71;0.46;1.53;172.8;1050.62;3.03;1.66;1.64;20.0;0.0;3.8;3.64;3.6;2.2;2.0;50.0;0.0;2.0;6.0;4.68;2.91;2.36;279.5;0.0;0.2;31.2;2112.0
Chlor-Alkali-Elektrolyse;ind;SQ;35.6;267.15;482.75;895.7;299.0;622.0;575.0;1408.0;679.2;1002.53;1065.0;2321.7;6.78;1.27;185.72;721.37;0.51;0.08;106.57;244.24;0.01;0.01;9.87;60.46;0.2;1.0;1.45;29.0;0.0;3.8;0.0;2.4;3.0;4.0;52.0;20.0;2.0;2.0;4.13;7.99;7.99;140.5;47.0;0.2;10.4;2112.0
Druckluftanwendungen;ind;SQ;56.15;33.56;0.0;285.5;1045.5;910.85;0.0;494.75;2578.0;1939.7;0.0;959.92;11.45;3.8;390.7;0.01;1.58;1.02;178.09;0.01;0.12;0.01;66.6;0.01;1.25;0.0;0.0;29.0;0.0;3.8;1.72;3.6;0.02;0.0;257.5;0.0;2.0;5.15;4.68;1.8;0.0;455.95;0.0;0.2;25.5;2112.0
Elektrostahlherstellung (Lichtbogenofen);ind;SQ;31.75;568.0;498.0;842.67;327.0;957.0;911.5;1730.0;734.75;1248.4;1143.6;2120.0;6.78;4.97;889.52;1753.77;0.64;0.98;183.18;573.95;0.07;0.01;0.01;237.57;0.18;0.4;0.5;20.0;0.0;3.8;0.0;1.0;3.3;3.5;51.0;30.0;2.0;1.0;1.08;5.84;5.4;4090.0;46.5;0.2;4.7;2112.0
Gießereien (Induktionsofen);ind;SQ;5.2;5.2;37.6;55.3;25.0;25.0;115.0;148.0;44.8;44.8;192.4;240.7;12.72;29.51;412.15;1632.05;8.14;20.35;274.76;1519.86;3.56;11.19;137.38;1407.66;3.28;1.64;1.64;20.0;0.0;3.8;3.7;4.0;2.0;2.0;50.0;0.0;2.0;6.0;4.72;2.36;2.36;80.0;0.0;0.2;6.38;2112.0
Holz- und Zellstoffherstellung;ind;SQ;44.95;195.4;155.4;221.85;84.0;252.86;300.0;324.0;366.55;312.0;391.4;705.75;20.8;49.36;231.51;530.55;1.67;0.53;11.14;458.18;0.13;0.01;0.01;404.43;1.25;1.35;1.25;20.0;0.0;3.8;1.5;4.2;2.5;3.15;432.5;10.0;2.0;7.8;6.45;5.12;5.18;1225.0;286.25;0.2;28.8;2112.0
Klimakälte;ind;SQ;0.0;0.0;0.0;790.7;50.35;0.0;0.0;1049.0;69.47;85.94;0.0;1307.3;11.45;3.8;390.7;0.01;1.58;1.02;178.09;0.01;0.12;0.01;66.6;0.01;1.25;1.0;0.0;292.0;0.0;3.8;1.72;3.6;2.2;0.0;365.0;0.0;2.0;5.15;4.68;3.82;0.0;438.0;0.0;0.2;25.5;2112.0
Kupfer- und Zinkherstellung (Elektrolyse);ind;SQ;7.8;7.8;20.1;177.5;15.0;15.0;149.0;182.0;22.2;22.2;168.8;186.5;0.01;3.8;246.78;2546.08;0.01;2.04;178.09;1679.88;0.01;0.01;109.4;1090.59;0.48;1.74;1.88;20.0;0.0;3.8;0.0;3.6;3.0;4.0;50.0;0.0;2.0;4.0;4.68;6.78;6.56;80.0;40.0;0.2;7.0;2112.0
Kühlung (Lebensmittelindustrie);ind;SQ;274.5;270.75;0.0;285.5;450.0;362.5;0.0;494.75;558.0;552.0;0.0;959.92;11.45;3.8;390.7;0.01;1.58;1.02;178.09;0.01;0.12;0.01;66.6;0.01;1.25;1.0;0.0;29.0;0.0;3.8;2.4;3.6;2.2;0.0;257.5;0.0;2.0;6.0;4.68;3.82;0.0;455.95;0.0;0.2;22.2;2112.0
Luftzerlegung;ind;SQ;12.6;12.6;117.2;164.3;45.0;45.0;146.0;194.0;148.2;148.2;174.8;515.91;10.43;3.77;258.48;289.83;6.31;1.02;203.53;260.52;0.72;0.01;159.82;231.21;2.74;2.56;2.53;118.75;21.5;3.8;1.45;3.0;3.0;2.8;315.0;35.0;2.0;4.3;3.26;3.82;3.07;365.0;48.5;0.2;30.0;2112.0
Papiermaschinen;ind;SQ;53.0;86.0;851.3;197.6;111.0;204.0;1214.0;1412.0;189.25;1698.8;1576.7;2720.14;3.64;3.77;390.7;419.78;1.58;1.02;188.99;396.88;0.12;0.01;153.41;373.99;3.27;2.2;4.75;29.0;0.0;3.8;4.36;5.4;4.7;5.2;200.0;0.0;2.0;11.2;7.02;5.6;5.65;710.0;0.0;0.2;31.2;2112.0
Primäraluminiumelektrolyse;ind;SQ;30.0;195.4;203.85;759.2;40.0;295.0;663.0;938.0;211.7;1126.0;979.0;1152.0;20.8;3.05;1256.82;1585.3;0.72;0.05;117.03;556.87;0.01;0.01;3.66;168.14;0.2;1.14;1.0;33.5;28.0;3.8;0.0;3.6;2.0;3.15;357.5;50.0;2.0;3.85;4.32;2.27;4.0;757.5;121.2;0.2;6.1;2112.0
Prozesskälte;ind;SQ;142.16;207.46;0.0;475.3;259.04;322.34;0.0;613.0;948.3;764.6;0.0;2438.8;11.45;3.8;390.7;0.01;1.58;1.02;178.09;0.01;0.12;0.01;66.6;0.01;0.28;0.26;0.0;292.0;0.0;3.8;1.72;0.5;1.6;0.0;365.0;0.0;2.0;5.15;7.25;5.1;0.0;438.0;0.0;0.2;25.5;2112.0
Pumpenanwendungen;ind;SQ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.0;0.06;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;2112.0
Zementherstellung;ind;SQ;54.0;90.0;167.25;315.8;174.0;313.0;246.5;397.0;364.0;921.0;403.25;551.7;3870.08;61.36;835.3;1513.95;1.53;1.0;166.82;913.39;0.12;0.01;0.01;324.28;1.5;1.0;1.6;34.0;0.0;3.8;1.95;3.95;3.0;4.0;52.0;10.0;2.0;21.4;17.08;13.18;14.46;473.9;286.25;0.2;48.6;2113.0
Abwasserbehandlung;tcs;SQ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;749.32;376.9;0.01;0.01;15.59;7.0;0.01;0.01;6.23;0.84;0.01;0.01;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;5.6;112.0
Beleuchtung;tcs;SQ;0.0;0.0;0.0;12.74;4.44;2.41;0.0;19.4;12.06;20.16;0.0;26.06;1168.02;376.9;621.49;0.01;388.69;7.0;327.1;0.01;8.84;0.84;51.49;0.01;1.64;1.64;0.0;219.0;0.0;0.0;1.92;2.0;2.0;0.0;243.0;0.0;0.0;3.0;2.36;2.36;0.0;267.0;0.0;0.0;20.91;112.0
Belüftung;tcs;SQ;1.26;16.98;0.0;786.3;54.17;80.22;0.0;1077.0;9070.0;2298.0;0.0;1367.7;1333.24;376.9;4.78;0.01;388.69;7.0;1.11;0.01;16.3;0.84;0.11;0.01;2.01;0.44;0.0;292.0;0.0;0.0;2.0;3.0;1.0;0.0;365.0;0.0;0.0;2.5;4.26;2.62;0.0;865.05;0.0;0.0;12.85;112.0
