Prozess;sector;cluster;WZ
Primäraluminiumelektrolyse;ind;2112;24
Chlor-Alkali-Elektrolyse;ind;2112;20
Holz- und Zellstoffherstellung;ind;2112;17
Papiermaschinen;ind;2112;17
Elektrostahlherstellung (Lichtbogenofen);ind;2112;24
Zementherstellung;ind;2112;23
Kupfer- und Zinkherstellung (Elektrolyse);ind;2113;24
Altpapierrecycling (Pulper);ind;2112;17
Gießereien (Induktionsofen);ind;2113;24
Calciumcarbid-Herstellung (Lichtbogenofen);ind;2113;20
Wärmepumpen;tcs+hoho;112;-1
Nachtspeicherheizungen;tcs+hoho;112;-1
Belüftung;ind;2112;-1
Prozesskälte;ind;2112;-1
Klimakälte;ind;2112;-1
Prozesskälte;tcs;12;-1
Belüftung;tcs;12;-1
Pumpenanwendungen in der Wasserversorgung;tcs;12;36
Beleuchtung;tcs;12;-1
Zerkleinerer;tcs;12;-1
Kühlschränke;hoho;2;0
Geschirrspüler;hoho;2;0
Wäschetrockner;hoho;2;0
Waschmaschinen;hoho;2;0
Warmwasserbereitstellung;tcs+hoho;112;-1
Gefrierschränke und -truhen;hoho;2;0
Heizungsumwälzpumpen;hoho;2;0
Klimakälte;tcs+hoho;112;-1
Abwasserbehandlung;tcs;12;37
Kühlhäuser;tcs;12;-1
Beleuchtung;ind;2112;-1
Druckluftanwendungen;ind;2112;-1
Pumpenanwendungen;ind;2112;-1
Kühl- und Gefrierkombinationen;hoho;2;0
Kühlung (Lebensmittelindustrie);ind;2112;10
Prozesskälte Handel;tcs;12;47
Prozesswärme;tcs;12;-1
Luftzerlegung;ind;2112;20
